City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
303,Coquimbo,CL,-29.9533,-71.3436,61.77,81,24,3.49,few clouds
304,Machinga,MW,-15.1685,35.3,95.23,21,17,6.53,few clouds
305,Chokwe,MZ,-24.5333,32.9833,74.37,85,100,4.23,light rain
306,Dingle,PH,10.9995,122.6711,75.94,82,15,7.02,few clouds
307,Kropotkin,RU,45.4375,40.5756,49.69,73,99,4.85,overcast clouds
308,Palana,RU,59.1167,159.9667,30.47,78,100,9.84,overcast clouds
309,East Wenatchee Bench,US,47.4257,-120.2812,46.31,87,20,9.22,few clouds
310,Mount Isa,AU,-20.7333,139.5,78.57,69,100,6.91,overcast clouds
311,Ust-Ishim,RU,57.6935,71.1665,-8.41,95,5,3.89,clear sky
312,Mogzon,RU,51.7435,111.9606,0.66,81,100,9.89,overcast clouds
313,Lethem,GY,3.3803,-59.7968,79.3,79,100,3.29,overcast clouds
314,Paita,PE,-5.0892,-81.1144,65.48,84,81,10.33,broken clouds
315,Lannion,FR,48.75,-3.4167,55.0,96,100,6.91,light rain
316,Fare,PF,-16.7,-151.0167,78.48,74,10,10.83,clear sky
317,Ikalamavony,MG,-21.15,46.5833,85.69,37,49,7.74,scattered clouds
318,Yangambi,CD,0.8102,24.4336,74.43,80,100,4.09,overcast clouds
319,Miranda,CO,3.2499,-76.2281,66.7,94,100,0.76,overcast clouds
320,Saint George,US,37.1041,-113.5841,37.8,54,0,4.61,clear sky
321,Pemba,MZ,-12.974,40.5178,81.79,67,1,12.35,clear sky
322,Kahului,US,20.8947,-156.47,69.84,88,40,5.01,light rain
323,Shingu,JP,33.7333,135.9833,52.36,71,93,5.14,overcast clouds
324,Asyut,EG,27.181,31.1837,72.19,32,99,4.29,overcast clouds
325,Ketchikan,US,55.3422,-131.6461,32.47,93,20,0.0,few clouds
326,Porangatu,BR,-13.4408,-49.1486,74.8,86,100,4.16,overcast clouds
327,Wilmington,US,34.2257,-77.9447,67.95,83,100,5.01,overcast clouds
328,Sioux Lookout,CA,50.1001,-91.917,20.34,97,62,4.36,broken clouds
